Year,State,Population,Growth,GrowthRate,ShareIndia
2011,MAHARASHTRA REGION,112374333,15495706,15.99,9.28
2001,MAHARASHTRA REGION,96878627,17941440,22.73,9.42
1991,MAHARASHTRA REGION,78937187,16154369,25.73,9.33
1981,MAHARASHTRA REGION,62782818,12370583,24.54,9.19
1971,MAHARASHTRA REGION,50412235,10858517,27.45,9.2
1961,MAHARASHTRA REGION,39553718,7551154,23.6,9.01
1951,MAHARASHTRA REGION,32002564,5169806,19.27,8.86
1941,MAHARASHTRA REGION,26832758,2873458,11.99,8.42
1931,MAHARASHTRA REGION,23959300,3109634,14.91,8.59
1921,MAHARASHTRA REGION,20849666,-624857,-2.91,8.3
1911,MAHARASHTRA REGION,21474523,2082880,10.74,8.52
1901,MAHARASHTRA REGION,19391643,0,0,8.13
