YEAR,SUBDIVISION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1901,GUJARAT REGION,4.2,0,0.6,1.6,7,60.3,240.2,205.4,18.1,16.6,0,0.3,554.3
1902,GUJARAT REGION,3.9,0,0,0.6,1,32.8,229.8,299,281.2,2.3,1.5,11.9,863.9
1903,GUJARAT REGION,0.3,0.1,1.4,0,12.3,30.1,452.9,202,183.2,5.4,0,0,887.6
1904,GUJARAT REGION,0.8,10.6,16.8,0.2,3.9,48.3,194.8,71.8,138,6.1,0.1,1.2,492.6
1905,GUJARAT REGION,0.1,0.7,1.1,0.3,0,20.1,668.3,37.9,81.3,1.4,0.2,0.1,811.5
1906,GUJARAT REGION,0,12.7,0,0,0.1,177.5,311.5,247.1,134.8,5.9,0,0.9,890.6
1907,GUJARAT REGION,0.3,14.6,0.2,2.1,0.4,72.4,325,564.4,17.5,0,0,0,997
1908,GUJARAT REGION,5.2,0.3,0.2,0,0.1,67.5,562.1,366,25.1,1,0,0,1027.5
1909,GUJARAT REGION,0.1,0.5,0.1,5.5,2.6,160.5,415.6,242.6,143.3,1.5,0,5.5,977.8
1910,GUJARAT REGION,0.6,0,0,0.1,0,262.6,290.2,338.5,44.7,23.1,14.8,0,974.6
1911,GUJARAT REGION,3.5,0,18.9,0,0.9,158,66.7,93.4,57.7,0.5,3.8,0.1,403.5
1912,GUJARAT REGION,0.1,0,0,0.2,0.6,105.1,624.9,291.1,38.9,13.6,44.1,0,1118.5
1913,GUJARAT REGION,0,0,0.1,0,13.5,364.5,423.2,213.8,146,1.1,0.1,0.3,1162.6
1914,GUJARAT REGION,0,3.7,0,0.2,5.4,222.3,488.8,137.7,234.9,8.5,6,0,1107.5
1915,GUJARAT REGION,7.5,1.9,12.1,1.6,2.3,128.7,128.9,116.3,52.7,112.3,2.8,0.2,567.3
1916,GUJARAT REGION,0,0,0.2,0.1,8.7,126.7,168.3,418.9,193.6,32.4,4,0,952.9
1917,GUJARAT REGION,0.4,7.4,0,5.3,98.3,126.8,320.1,379.2,353.7,233.7,0,0,1524.9
1918,GUJARAT REGION,0.4,0,0.2,0,12.1,37.8,110.5,213.4,17.6,0.2,0.5,0,392.6
1919,GUJARAT REGION,6.1,0.1,0,1.3,2.1,110,335.9,481.2,78.1,33,19.6,0,1067.4
1920,GUJARAT REGION,44.1,1.8,0,0.2,63.2,189.3,268.1,110.4,31.7,0,0,0,708.9
1921,GUJARAT REGION,0.8,0,0,0,0,31.1,529.7,205.4,405.1,0.4,0,0.2,1172.8
1922,GUJARAT REGION,2.1,0,0,0,0,130.8,314.8,106.8,314.3,5,4.1,0.7,878.7
1923,GUJARAT REGION,0,5.2,1.5,4,4.6,2.6,295,157.5,81.9,0.9,0,0,553.2
1924,GUJARAT REGION,1.4,0,0.4,0,5.5,117.3,297.3,267,198.7,21,0,1,909.6
1925,GUJARAT REGION,0,0,0.1,0,25.8,264.6,199.3,81.8,14.2,0.4,6.6,0.2,593.1
1926,GUJARAT REGION,6.5,0,0.9,2,8.5,20.1,406.1,471,359.1,0.1,0.1,0,1274.5
1927,GUJARAT REGION,0,4.9,0,0.2,1.9,139.4,903.3,199.2,113.9,26.2,18.3,14.8,1422.1
1928,GUJARAT REGION,0,0.2,0,0,0,51.5,372.7,220.5,138.3,19.6,16.4,1.8,821
1929,GUJARAT REGION,1.9,0,0,5.5,0.9,123.6,353.7,150.7,20.6,7.2,0.6,11.6,676.3
1930,GUJARAT REGION,2,0.2,0.2,0.1,1.1,160.2,426,152.9,102.8,48.2,0,0.9,894.7
1931,GUJARAT REGION,0,0.1,0,0,1.7,18.4,332.5,546.3,86.4,113.6,4.2,1.3,1104.6
1932,GUJARAT REGION,0,0,0.8,0.4,0.4,57.9,540,146.6,129.2,30.1,0.9,0.3,906.6
1933,GUJARAT REGION,0,3.4,0.7,3.5,44.3,118.3,241.3,473.6,227.5,15.1,1.4,7.9,1137.1
1934,GUJARAT REGION,0.1,0,0.7,0.3,0,219.7,266.1,392.9,81.2,0.9,17.6,0,979.6
1935,GUJARAT REGION,7.3,0,0,1.6,0.4,82.4,356,107.1,187.6,14.2,0.1,0.3,756.9
1936,GUJARAT REGION,0,1.8,1.3,0,0.8,189.4,133.4,52.9,175.8,1.3,52.5,0,609.3
1937,GUJARAT REGION,0,4,0.2,0.1,0,260.6,577.8,32,320.1,3.3,0.1,4.8,1203.1
1938,GUJARAT REGION,0,0.1,0,0,15.8,265,342.6,134.6,26.3,30.3,0,0,814.9
1939,GUJARAT REGION,0,1.1,3.1,0,0,30.3,210.3,265.3,91.6,1.3,2.4,0.2,605.6
1940,GUJARAT REGION,11.3,4.4,10.1,2,1.5,152.6,208.3,241.8,119.8,91.5,26.7,0,870.1
1941,GUJARAT REGION,1,12.5,0.1,0.7,0.9,42.5,671.9,187.7,40.7,3.3,0,0.4,961.8
1942,GUJARAT REGION,2,13.7,0,0,9,130.1,501.1,367.8,162.6,0,0,0.3,1186.8
1943,GUJARAT REGION,0.1,0,0,0.6,19,132.8,484.2,80.9,152.2,42.6,0.4,0,912.8
1944,GUJARAT REGION,2.9,0,5.1,2.3,2.3,110.1,625.9,502.7,72.2,16.9,0,0,1340.6
1945,GUJARAT REGION,7,0,0,1.9,0.7,160.9,518.8,245.3,339.5,2.7,0,0,1277
1946,GUJARAT REGION,0,2.1,0,1.1,4.2,233.3,291.7,469.6,104.6,1.1,34.4,5.5,1147.7
1947,GUJARAT REGION,0.4,0,0,40.4,0,5.4,216.7,257.1,252.7,8.3,2.3,0,783.4
1948,GUJARAT REGION,11.7,0.4,0,0,0.7,65.5,185.9,115.9,49.8,18.2,25.1,0.6,473.9
1949,GUJARAT REGION,0,0.1,0,0,2.5,35.2,290,205.5,241.1,23.5,2.5,0,800.3
1950,GUJARAT REGION,0,0,0,0,0.1,11.7,730.7,76.9,306.6,3.3,0,0,1129.3
1951,GUJARAT REGION,0,0,0.4,0.3,2.1,65.6,218.6,162.6,7.3,13.9,7.3,0.3,478.3
1952,GUJARAT REGION,0,0,0,0,0.2,138.7,487.7,136.4,11.6,1.8,0,0,776.6
1953,GUJARAT REGION,12.6,0,0,0.1,0.3,143.6,240,552.9,104.5,1,0,0.4,1055.5
1954,GUJARAT REGION,0.1,2,5.5,0,0.2,114.3,355,214.1,522,32,0.1,2.6,1248
1955,GUJARAT REGION,0.3,0.1,0.1,0.7,3.1,104.9,109.9,393.5,311.4,51.4,0.1,0,975.7
1956,GUJARAT REGION,0,0.1,0,0.1,26.5,102.9,661.3,329.8,135,107.4,2.2,1.4,1366.6
1957,GUJARAT REGION,2.3,0,0.2,0,5.7,151.8,257.1,198.7,16.1,7.5,8.2,0.2,647.8
1958,GUJARAT REGION,1,0,0.3,1.1,0.7,103.4,336.8,287.1,335.9,46.9,10,0.1,1123.1
1959,GUJARAT REGION,0,0,0,2.8,1.4,98,632.6,321.8,377.6,121.7,4.7,0,1560.7
1960,GUJARAT REGION,1.6,0,0.2,0,8,131.4,218.3,210.6,73.1,6.3,0,0.1,649.6
1961,GUJARAT REGION,0,0.6,0,0,0.6,90.2,365.1,174.6,297.7,16.1,0.1,0,945.1
1962,GUJARAT REGION,0,0,1.4,1.3,2.3,49.3,298.8,181,227.1,0,8.9,2.9,773
1963,GUJARAT REGION,1.4,0,0.9,0.3,0.3,65.4,291.4,350.9,227.6,26,33.1,0.4,997.9
1964,GUJARAT REGION,0.1,0,0,0,4,106.2,371,296.3,114.6,0.5,0,0,892.7
1965,GUJARAT REGION,7.4,0,0.6,0.4,1.3,11.2,442.4,165.9,24.1,1,2.4,0.1,656.7
1966,GUJARAT REGION,0.2,0,0,0,0.5,123.1,316.4,71.2,183.9,0.8,0.3,0.1,696.7
1967,GUJARAT REGION,0,0,42.1,0.4,0.2,132.7,413.2,204.1,123.8,1,0,21.1,938.7
1968,GUJARAT REGION,0.1,0.3,1.2,0,0.1,33.8,279.1,297.1,45.8,10.3,0.1,0,668
1969,GUJARAT REGION,0,0.2,0,0,0,100.5,331.3,154.6,191.9,0,7.2,3.2,789
1970,GUJARAT REGION,0.2,1,0.1,0.1,5.3,262.6,261.2,495.8,321.8,5.8,0,0,1353.8
1971,GUJARAT REGION,0,0.1,0,0.3,5,176.2,253.6,194.1,134.9,5,0,0,769.2
1972,GUJARAT REGION,0.1,2,0,0,1.8,87.8,208.4,180.4,23,0.2,0,0,503.8
1973,GUJARAT REGION,0.2,0.7,0.1,0,1.3,97.3,301.4,364.5,387,7.1,0,0.1,1159.6
1974,GUJARAT REGION,0,0,0,0.6,51.3,22.1,135.5,103,68.7,38.6,0,1.5,421.3
1975,GUJARAT REGION,0,0,0.7,0,0.1,156,219.5,449.6,318.5,48.2,0,0,1192.7
1976,GUJARAT REGION,3.2,0,0,0,0.2,342.5,584.4,482.4,149.5,0.2,57.7,0,1620.1
1977,GUJARAT REGION,3.9,0.1,0.2,0.1,15.4,310.2,565.2,242.9,160,0.7,8.9,0,1307.7
1978,GUJARAT REGION,0,1.1,0,2,0.3,155.5,280.7,405.7,52.3,6.1,26.2,5.9,935.8
1979,GUJARAT REGION,1,4.6,0,0,0.3,132.3,174.2,441.3,46.3,11.5,92.8,0.1,904.5
1980,GUJARAT REGION,0.1,0,0,0,0.1,261.3,268.7,249.1,24,0.8,0.4,17.6,822
1981,GUJARAT REGION,1.3,0,0.7,0.1,0.3,111.3,414.3,377,137.9,40.8,30.5,0,1114.2
1982,GUJARAT REGION,0.4,0.1,0.1,2.6,45.8,39.6,274.4,266.3,25.8,6.5,96.6,0,758.3
1983,GUJARAT REGION,0.1,0,0,8,1.3,129.3,408.8,405.9,180.8,79.8,0,0,1213.9
1984,GUJARAT REGION,0,0,0,0,0,85.2,250.5,421.4,89.2,5.7,1.7,0,853.6
1985,GUJARAT REGION,0,0,0,0.8,2.1,14.7,247.2,182.5,18.1,124,0,0.3,589.7
1986,GUJARAT REGION,0,0,0.1,0,2,180.1,161.8,149.4,5.9,1.5,1.1,0,501.8
1987,GUJARAT REGION,0.4,0.5,0,0,0.3,69.6,119.4,180.6,5.7,3.4,11.2,10.7,401.9
1988,GUJARAT REGION,0,0,0,2.5,0,74.7,573.1,245.5,190.4,11.2,0,0,1097.4
1989,GUJARAT REGION,1.3,0,0,0,0.1,112.5,351.2,298.3,58,1.5,0,0,822.8
1990,GUJARAT REGION,0,3.3,0.2,0,32.9,79,221.6,530.5,226.2,16,4.8,3.8,1118.4
1991,GUJARAT REGION,0,0,0,0,0,55.6,440.8,133.8,41.8,0,0.7,0,672.7
1992,GUJARAT REGION,0.8,0,0,0,0.9,132.8,256.3,244.4,244.1,19.2,2.5,0,901.1
1993,GUJARAT REGION,0,1.7,0.1,0,0,133.2,557.4,69.5,147.8,30.1,1.5,0,941.4
1994,GUJARAT REGION,7.2,0,0,0.1,0,320.7,490.6,370.1,343.7,2,0.1,0,1534.5
1995,GUJARAT REGION,2.2,0,0.2,0,0,8.5,451,127.4,71,22.9,0.3,0.7,684.3
1996,GUJARAT REGION,1,0,0,0,0,123.9,374.6,228.5,151.3,23.3,0.1,0,902.8
1997,GUJARAT REGION,0.7,0,0.2,3.3,3.6,355.3,241.9,358,96.1,8.1,0.9,0.9,1068.9
1998,GUJARAT REGION,0,0.1,0,0,0,111.5,312.2,196.1,346.9,98.8,4.4,0,1070
